Topic,Count,Name,Representation,Representative_Docs
229,65,229_work_excellentwork_excellent_results,"['work', 'excellentwork', 'excellent', 'results', 'op', 'satisfactory', 'done', 'perfect', 'fantastic', 'job']","['excellent work', 'excellent work', 'excellent work']"
230,65,230_remotest_methe_foodat_needsthank,"['remotest', 'methe', 'foodat', 'needsthank', 'illhealth', 'possibletrue', 'reassures', 'copun', 'intake', 'instantaneous']","['good right due illhealth interested go outside app helps people lot serve needsthank', 'great app useful especially student like methe service makes details clear lets know theres delay service reassures ive never experienced defect food service really appreciate app', 'app nice must include home made diet meals people worried protein fibre intake']"
231,64,231_tume_wondel_prosperity_jhakas,"['tume', 'wondel', 'prosperity', 'jhakas', '5stars', 'method', 'best', 'world', 'comfort', 'bestest']","['bestest delivery tha prosperity', 'delivers tume', 'best delivery takes tume']"
232,64,232_quick_apt_afternoon_hurry,"['quick', 'apt', 'afternoon', 'hurry', 'immediate', 'disappoint', 'solving', 'pickup', 'instant', 'suddenly']","['quick delivery', 'quick delivery', 'quick delivery']"
233,63,233_application_algorithm_tym_emergency,"['application', 'algorithm', 'tym', 'emergency', 'world', 'good', 'really', '', '', '']","['good application', 'good application', 'good application']"
234,63,234_raat_kaato_bhuka_rashta,"['raat', 'kaato', 'bhuka', 'rashta', 'zindabaad', 'bahat', 'sathi', 'balle', 'jai', 'joint']","['new generation koi bhi zomato mein joint mat karo kyunki tum jo asha lekar zomato mein joint karoge tumko bhikhari banaa dega', 'pyaj kaato lashan kaato sabji kaato arey bhai zomato', 'love mari jaan zomato es app ne pata hai puri duniya ki jaan ko baccha ke rakha hai aur kud sadkon per hai din raat']"
235,63,235_excellent_experience_fast_,"['excellent', 'experience', 'fast', '', '', '', '', '', '', '']","['excellent experience', 'excellent experience', 'excellent experience']"
236,62,236_hurdles_attaident_bhilai_towns,"['hurdles', 'attaident', 'bhilai', 'towns', 'motto', 'chains', 'develop', 'villages', 'experienced', 'elegant']","['good experience home town bhilai service good state', 'good experience mostly hospital attaident', 'good service quality service good chains large menu customer service happiness satisfaction motto excellent business hope get services villages small towns']"
237,62,237_fast_service_faster_sure,"['fast', 'service', 'faster', 'sure', 'thank', 'good', 'keep', 'work', 'also', 'really']","['good service fast', 'good fast service', 'good service fast']"
238,62,238_goood_gooodd_reallyyyy_gooiid,"['goood', 'gooodd', 'reallyyyy', 'gooiid', 'aaapp', 'gooi', 'really', 'nice', '', '']","['goood', 'goood', 'goood']"
239,62,239_health_appuse_healththanks_foe,"['health', 'appuse', 'healththanks', 'foe', 'hm', 'silly', 'supporting', 'fine', 'food', 'enough']","['good health', 'good food good health', 'good foe health']"
240,62,240_taxes_tax_except_reduce,"['taxes', 'tax', 'except', 'reduce', 'highg', '59rs', 'taxe', 'ratea', 'marginsss', 'taxing']","['much taxes', 'much taxes', 'taxes']"
241,61,241_hunger_hungry_appetite_bon,"['hunger', 'hungry', 'appetite', 'bon', 'starving', 'prevent', 'mama', 'quenching', 'mia', 'gage']","['useful app hunger', 'great app hunger', 'good app hunger']"
242,61,242_preety_adult_scuffed_ittoo,"['preety', 'adult', 'scuffed', 'ittoo', 'cirfimstnaces', 'hungrely', 'dolevery', 'goodim', 'hanged', 'ezy']","['preety good app', 'preety good app', 'great app like adult something app ezy handle better namaste']"
243,61,243_platform_ordering_otherand_overprizing,"['platform', 'ordering', 'otherand', 'overprizing', 'prize', 'hostle', 'cater', 'meeting', 'worlds', 'quiet']","['good platform order food', 'good platform order food', 'good platform order food']"
244,61,244_m8_lineup_bmw_engine,"['m8', 'lineup', 'bmw', 'engine', 'super', 'fast', 'variants', 'twinturbocharged', 'v8', 'automaker']","['super fast', 'super fast', 'vthe bmw m8 highperformance luxury sports car produced german automaker bmw part 8 series lineup represents flagship performance model m8 powered potent 44 liter twinturbocharged v8 engine delivering impressive power torque variants produce 617 horsepower engine m8 accelerate 0 60 mph around 3 seconds making one fastest cars bmws lineup top speed electronicall']"
245,61,245_aap_gaad_pancthual_aapbut,"['aap', 'gaad', 'pancthual', 'aapbut', 'aappppppppp', 'appreciateble', 'hpr', 'diliveri', 'travelers', 'doo']","['best aap', 'best aap', 'best aap']"
246,60,246_fooding_somethingitems_anywhereamazing_geet,"['fooding', 'somethingitems', 'anywhereamazing', 'geet', 'alsogot', 'eaze', 'shortcut', 'wholesome', 'meals', 'beverage']","['great fooding experience sitting home', 'fooding experience changed good way', 'nice fooding experience since long time']"
247,60,247_gold_benefits_trickery_362020,"['gold', 'benefits', 'trickery', '362020', '40k', '932025', 'applove', 'oof', 'reaping', 'hits']","['zomato gold good', 'zomato gold', 'zomato gold good']"
248,60,248_one_mate_nice_problem,"['one', 'mate', 'nice', 'problem', 'ok', '', '', '', '', '']","['nice one', 'nice one', 'nice one']"
249,60,249_discounts_discount_discounted_deliverys,"['discounts', 'discount', 'discounted', 'deliverys', 'personals', 'appalso', 'spender', 'attractivespeed', 'discountsfast', 'goodnot']","['good discounts fast delivery', 'good discounts fast delivery', 'good discounts fast delivery']"
250,59,250_goog_sonice_goot_goor,"['goog', 'sonice', 'goot', 'goor', 'gooid', 'goo', 'lucid', 'hppier', 'gooods', 'goon']","['goog', 'goog', 'goog']"
251,59,251_bad_appsfraud_qite_nood,"['bad', 'appsfraud', 'qite', 'nood', 'poor', 'potta', 'thes', 'dad', 'develop', 'sucks']","['v bad app', 'qite good app sometimes sucks', 'poor bad app']"
252,59,252_tu_nahin_hain_karo,"['tu', 'nahin', 'hain', 'karo', 'mat', 'sollamatan', 'vej', 'zung', 'bekar', 'hi']","['bhai zomato se order mat karna yah froad karta hai isase order karo teri friend bhi nahin deta aur order bhi nahin deta hai', 'app se koi bhi order nahi kre ye vej vale ko non vej dete hai aaj hi mere saath hua baar ho chuka hai hotel se sahi aata hai bich chnge krte hai ye order ko', 'sulemakluu aa deependra goyal naa nambedii aa sulemaklaa company ellanraa nambistaa ide aa bolimaga olle savuu saayalla hulaaa biduu saithane']"
253,59,253_literaly_utsav_bokking_dlivery,"['literaly', 'utsav', 'bokking', 'dlivery', 'odr', 'junk', 'aslo', 'ver', 'secure', 'goto']","['good app bokking food', 'utsav really good food app', 'good app one literaly want one time food']"
254,59,254_beneficial_birds_dly_groceries,"['beneficial', 'birds', 'dly', 'groceries', 'foods', 'ap', 'products', 'outside', 'lovers', 'serve']","['helpful app food lovers hungry birds', 'app beneficial food', 'beneficial app yummy foods']"
255,59,255_hygienic_hygiene_wear_ache,"['hygienic', 'hygiene', 'wear', 'ache', 'wossom', 'hygieniclove', 'servicesalso', 'chiea', 'everythingtaste', 'punctualfood']","['hygienic delivery nice', 'hygienic food', 'hygienic food']"
256,59,256_yummy_yummyyyy_yemmy_yummyyyyyyy,"['yummy', 'yummyyyy', 'yemmy', 'yummyyyyyyy', 'yammy', 'sound', 'funny', 'sooo', 'wow', 'soo']","['yummy', 'yummy', 'yummy']"
257,59,257_poor_sucpectable_commitments_hygine,"['poor', 'sucpectable', 'commitments', 'hygine', 'vary', 'record', 'unsatisfactory', 'providers', 'queries', 'froud']","['poor service', 'poor service', 'poor service']"
258,59,258_nugget_support_outsource_follo,"['nugget', 'support', 'outsource', 'follo', 'oldy', 'cautionary', 'supportthere', 'nps', 'worst', 'firing']","['worst customer support', 'nugget worst customer support system may make extra ruppees firing people dont want pay expensive software want pay someone managing orders', 'worst customer supprt cautionary note companies please dont buy nugget instead outsource cs someone else pls dont follo guys done nps drop drastically']"
259,58,259_amazing_experience_really_good,"['amazing', 'experience', 'really', 'good', '', '', '', '', '', '']","['amazing experience', 'amazing experience', 'amazing experience']"
260,58,260_awsome_waoosome_awwfulsome_awsomeee,"['awsome', 'waoosome', 'awwfulsome', 'awsomeee', 'amsome', 'coupens', 'loving', 'job', 'really', 'like']","['awsome', 'awsome', 'awsome']"
261,58,261_noice_af__,"['noice', 'af', '', '', '', '', '', '', '', '']","['noice', 'noice', 'noice']"
262,58,262_amazing_experience__,"['amazing', 'experience', '', '', '', '', '', '', '', '']","['amazing experience', 'amazing experience', 'amazing experience']"
263,58,263_timesaver_reciving_coze_deleivers,"['timesaver', 'reciving', 'coze', 'deleivers', 'tracing', 'observing', 'injoy', 'frndly', 'ping', 'precision']","['great app timesaver', 'things good thinks foolish observing time clock marked 4 minute past steel app remaining time', 'amazing app timesaver many']"
264,57,264_wonderful_experience_perfect_good,"['wonderful', 'experience', 'perfect', 'good', '', '', '', '', '', '']","['wonderful experience', 'wonderful experience', 'wonderful experience']"
265,57,265_prompt_fatima_unity_mange,"['prompt', 'fatima', 'unity', 'mange', 'colony', 'ness', 'lay', 'updation', 'law', 'college']","['prompt delivery', 'prompt delivery', 'prompt delivery']"
266,57,266_really_ofcourse_realy_nice,"['really', 'ofcourse', 'realy', 'nice', 'pretty', 'amazing', 'quite', 'actually', 'smooth', 'absolutely']","['really nice', 'really nice', 'really nice']"
267,57,267_flatform_fof_plotfrom_mathura,"['flatform', 'fof', 'plotfrom', 'mathura', 'appjust', 'pathner', 'factory', 'transportation', 'serviece', 'bestest']","['bestest food delivery appjust loved', 'one best food delivery flatform', 'best flatform delivery fresh food']"
268,57,268_cravings_craving_satisfier_sudden,"['cravings', 'craving', 'satisfier', 'sudden', 'desire', 'fulfill', 'mood', 'comatose', 'adda', 'erase']","['great cravings', 'best cravings', 'best cravings']"
269,57,269_choice_grevy_options_types,"['choice', 'grevy', 'options', 'types', 'beef', 'tummies', 'brief', 'heavenly', 'vegggg', 'fassos']","['good choice food', 'good choice food', 'best choice food']"
270,56,270_excellenton_muchh_time_niceee,"['excellenton', 'muchh', 'time', 'niceee', 'works', 'long', 'enjoying', 'overall', 'good', 'great']","['good time', 'nice time muchh overall niceee', 'excellenton time']"
271,56,271_wrong_ragi_obligation_wastedyou,"['wrong', 'ragi', 'obligation', 'wastedyou', 'pao', 'gu', 'summery', 'orderyou', 'hopes', 'merging']","['get correct order good order incorrect mix veg non veg money wastedyou get help', 'worse policy reporting incorrect orderyou need place checking order correct order delivered', 'good overall one bad experience ordered ragi pao bhaji got normal pav instead']"
272,56,272_late_deliveriea_devery_delhi,"['late', 'deliveriea', 'devery', 'delhi', 'slightly', 'tooo', 'little', 'bakwas', 'karte', 'past']","['late delivery', 'late delivery', 'late delivery']"
273,56,273_swiggy_swigy_offers_grad,"['swiggy', 'swigy', 'offers', 'grad', 'generates', 'prase', 'swiggyusing', 'sabed', 'cusins', 'sweggie']","['better offers swiggy', 'offers better swiggy', 'better offers swiggy']"
274,56,274_like_likee_10001000_igot,"['like', 'likee', '10001000', 'igot', 'attempt', 'muchh', 'unique', 'dis', 'search', 'works']","['like app', 'like app', 'like app']"
275,56,275_superbreally_yeah_incredible_well,"['superbreally', 'yeah', 'incredible', 'well', 'superb', 'service', 'excellent', 'test', 'everything', 'ok']","['incredible excellent service', 'superb excellent service', 'superbreally good service']"
276,56,276_train_journey_passengers_travelling,"['train', 'journey', 'passengers', 'travelling', 'travelingit', 'trainonly', 'undeliverable', 'delivies', 'nightmares', 'travelers']","['nice train service', 'train delivery good', 'good service train']"
277,55,277_coupon_codes_coupons_discount,"['coupon', 'codes', 'coupons', 'discount', 'overpaying', 'discountsi', 'zomati', 'couponsdiscounts', 'offersdiscountsi', 'orderzomato']","['zomato coupon like', 'good discount coupon zomato', 'zomato give coupon discount']"
278,55,278_ever_seen_35gst_wii,"['ever', 'seen', '35gst', 'wii', 'history', 'allplease', 'naver', 'mankind', 'worst', 'nerve']","['worst app ever seen', 'worst app ever seen', 'worst app ever seen']"
279,55,279_saving_save_saver_saved,"['saving', 'save', 'saver', 'saved', 'savings', 'saves', 'economici', 'alsotoo', 'moneythanks', 'lott']","['time saving', 'time saving', 'time saving']"
280,55,280_agility_experiencewith_severed_jamto,"['agility', 'experiencewith', 'severed', 'jamto', 'fastest', 'fast', 'experiencefast', 'awsum', 'mam', 'wao']","['wao good experience jamto fast delivery', 'super fast experience mam severed us polite kind', 'quick fast agility operate create best experience customer']"
281,55,281_nise_noce_ez_n8ce,"['nise', 'noce', 'ez', 'n8ce', 'num', 'og', 'nomu', 'nince', 'moce', 'nioce']","['nise', 'nise', 'nise']"
282,55,282_helpful_helpfull_thoughtful_ecofriendly,"['helpful', 'helpfull', 'thoughtful', 'ecofriendly', 'helps', 'travellers', 'thiss', 'mee', 'applicable', 'alone']","['app good helpful', 'app helpful good', 'helpful good app']"
283,54,283_timr_georgeus_abd_groceries,"['timr', 'georgeus', 'abd', 'groceries', 'workers', 'vgood', 'delivering', 'satisfaction', 'food', 'delivery']","['good food abd delivery', 'good food delivery timr', 'georgeus food delivery good']"
284,54,284_staff_staffs_polite_hardworking,"['staff', 'staffs', 'polite', 'hardworking', 'behavior', 'servicenicehumble', 'amazingcourteous', 'staffi', 'staffdelivery', 'responsevery']","['good service good staff', 'polite friendly staff', 'nice polite staff']"
285,54,285_offers_great_decent_looking,"['offers', 'great', 'decent', 'looking', 'okay', 'deals', 'working', 'offer', 'excellent', 'going']","['great offers', 'great offers', 'great offers']"
286,54,286_chutneys_panner_quality_tweet,"['chutneys', 'panner', 'quality', 'tweet', 'rajbagh', 'worstnot', 'aapppp', 'bott', 'servece', 'hatric']","['take much delevery food last order food panner bhout pice chap found thats gud', 'taste chutneys bad smell chutneys packaging also bad total would recommend restaurant', 'third class food quality stale food quality bad want money back else tweet regarding order directly deepinder goyal sir official page photos videos food upload photos videos twitter social media also']"
287,54,287_serviceon_profff_thvhhg_exam,"['serviceon', 'profff', 'thvhhg', 'exam', 'brothers', 'summer', 'specially', 'likes', 'frod', 'time']","['totally frod profff bad service time dont use plz plz brothers', 'good serviceon time', 'good serviceon time']"
288,53,288_apps_unwasted_batting_eter,"['apps', 'unwasted', 'batting', 'eter', 'compared', 'faat', 'comparing', 'smarter', 'reasturant', 'compares']","['great compared apps', 'app promotion batting apps eter face good', 'good compared apps']"
289,53,289_delay_20min_delaying_readyi,"['delay', '20min', 'delaying', 'readyi', 'evetime', 'excuse', 'delays', '1min', 'avoided', 'oders']","['delay', 'delay', 'delay']"
290,53,290_asowme_wee_orange_coupens,"['asowme', 'wee', 'orange', 'coupens', 'modern', 'alternatives', 'opinion', 'food', 'efficient', 'trying']","['using app years trying alternatives best app food delivery opinion', 'good app food delivery better orange wee need offers', 'asowme app food delivery']"
291,53,291_far_swiggy_compared_swiggydominospizzahut,"['far', 'swiggy', 'compared', 'swiggydominospizzahut', 'swiggee', 'broits', 'better', 'overrated', 'compare', 'goat']","['far better swiggy', 'far better swiggy', 'far better swiggy']"
292,53,292_ypur_serviceprovided_furies_fast,"['ypur', 'serviceprovided', 'furies', 'fast', 'settle', 'fastthank', 'felling', 'delvry', 'delvery', 'uh']","['fast serviceprovided good facilities', 'fast furies delvry awesome service gr8 experience', 'felling good ypur service fast delvery']"
293,53,293_cake_birthday_damaged_deformed,"['cake', 'birthday', 'damaged', 'deformed', 'kg', '1700', '1kg', 'pinata', 'chemical', 'apr']","['zomato worst application listed restaurant zomato application fools sitting ruin customer day ordered 1 kg fruit cake 1st restaurant said 1kg fruit cake available wrongly listed item app ordered 1kg cake another restaurant also informed thing dont 1 kg cake also cant deliver also customer support also bad', 'worst experience ever ordered cake received worst condition cake totally spoiled zomato refunding money picking call', 'really frustrated zomato delivery boy swinging cake shoulderswhich ordered rs 680 opened cake infront already suspected cake spoiled stuck one side wall shared picture cake customer support delivery boy instead full refund taking back cake replacement cake offered rs 160 agreed increase 300 disconnected chat agreed']"
294,52,294_cancel_cancelling_accuses_faloodaorder,"['cancel', 'cancelling', 'accuses', 'faloodaorder', 'cencel', 'whatup', 'alwaus', 'orderinstead', 'hair', 'minthey']","['cancel order', 'cancel order', 'dont cancel order cancel orderinstead cancelling order forcefully deliver order even cancelled order within 5 minthey give accuses like ai generated cancel orderi writing delivery order theres hair faloodaorder delivered hair even cancelled']"
295,52,295_really_yess_wery_realy,"['really', 'yess', 'wery', 'realy', 'pretty', 'yeah', 'yes', 'man', 'app', 'feel']","['really good app', 'really good app', 'really good app']"
296,52,296_friendly_user_readable_versatile,"['friendly', 'user', 'readable', 'versatile', 'beginner', 'freindly', 'usable', 'interactive', 'generation', 'inclusive']","['user friendly app', 'user friendly app', 'user friendly app']"
297,52,297_deliverywhy_otters_goodnot_goodnice,"['deliverywhy', 'otters', 'goodnot', 'goodnice', 'cas', 'spp', 'ah', 'deliverying', 'branch', 'kinds']","['goodnice delivery', 'good delivery compared otters good keep', 'goodnot cas deliverywhy']"
298,52,298_peasy_easy_breezy_easyy,"['peasy', 'easy', 'breezy', 'easyy', 'pizy', 'ameal', 'odier', 'way', 'ordee', 'ways']","['easy peasy', 'easy peasy', 'easy peasy']"
299,52,299_ok_okay_namaste_clear,"['ok', 'okay', 'namaste', 'clear', 'good', '', '', '', '', '']","['ok good', 'ok good', 'ok good']"
300,52,300_offers_awesomegood_offerssss_saviers,"['offers', 'awesomegood', 'offerssss', 'saviers', 'malda', 'supperrr', 'amazing', 'nowdays', 'notch', 'ux']","['amazing offers', 'offers amazing', 'amazing offers']"
301,52,301_segments_lovin_ah_best,"['segments', 'lovin', 'ah', 'best', 'nobody', 'line', 'forever', 'zomato', 'aap', 'prefer']","['ah think zomato best best best', 'zomato best lovin', 'zomato best aap segments']"
302,52,302_night_mid_evening_cravers,"['night', 'mid', 'evening', 'cravers', 'woowwwwwwwww', 'nighter', 'hepls', 'goodeven', 'duhh', 'driveres']","['good night', 'good night', 'good night']"
303,51,303_reliable_reliableevery_reliablealways_algorithms,"['reliable', 'reliableevery', 'reliablealways', 'algorithms', 'abd', 'ane', 'criteria', 'accuracy', 'accurate', 'software']","['fast reliable', 'fast reliable', 'fast reliable']"
304,51,304_taste_nice_good_really,"['taste', 'nice', 'good', 'really', '', '', '', '', '', '']","['good taste', 'good taste', 'good taste']"
305,51,305_gud_gatia_jind_lucrative,"['gud', 'gatia', 'jind', 'lucrative', 'delighted', 'haa', 'cx', 'der', 'nd', 'initially']","['gud service', 'gud service', 'gud service']"
306,51,306_ordering_alexa_fav_zooooooomatooo,"['ordering', 'alexa', 'fav', 'zooooooomatooo', 'vlogger', 'nothings', 'rlly', 'hiccups', 'appas', 'skills']","['good app food ordering', 'good app food ordering', 'fav food app one turn order food fav request please please added amazon alexa order alexa skills needed use order food rather spending time app issue reaching customer care difficult easier right bot human end loved home food sad removed']"
307,51,307_nicee_seee_guysu_enjoyy,"['nicee', 'seee', 'guysu', 'enjoyy', 'nices', 'niceeeee', 'sooo', 'try', 'fast', 'good']","['nicee', 'nicee', 'nicee']"
308,51,308_longer_takes_long_hammering,"['longer', 'takes', 'long', 'hammering', 'rubbies', 'chaging', 'prefact', 'interval', 'trivandrum', 'timeit']","['everything good except delivery timeit takes longer usual', 'deliveries taking longer usual', 'takes long time deliver']"
309,51,309_well_expr_supposed_,"['well', 'expr', 'supposed', '', '', '', '', '', '', '']","['well', 'well', 'well']"
310,51,310_tasty_tastyyyy_tastasty_tatty,"['tasty', 'tastyyyy', 'tastasty', 'tatty', 'soft', 'guess', 'reasonable', 'know', 'delicious', 'dont']","['tasty', 'tasty', 'tasty']"
311,51,311_offers_deliverygreat_unmatchable_fast,"['offers', 'deliverygreat', 'unmatchable', 'fast', 'speed', 'exciting', 'coverage', 'offer', 'quick', 'zepto']","['good offers fast delivery', 'fast delivery good offers', 'fast delivery offers']"
312,51,312_everything_perfect_descriptions_nothing,"['everything', 'perfect', 'descriptions', 'nothing', 'thing', 'traveller', 'mapping', 'roof', 'field', 'say']","['everything perfect', 'everything perfect', 'everything perfect']"
313,50,313_zomatoindeed_honestlylove_nationalist_impressing,"['zomatoindeed', 'honestlylove', 'nationalist', 'impressing', 'principles', 'creat', 'attracting', 'innovating', 'delievery', 'newly']","['best experience zomato owner nationalist good human also', 'please creat huge success honestlylove zomato', 'always innovating impressing one never get done zomato keeps attracting']"
314,50,314_ap_apk_aplication_apo,"['ap', 'apk', 'aplication', 'apo', 'po', 'aps', 'apl', 'worry', 'ppaa', 'apap']","['good ap', 'good ap', 'nice ap']"
315,50,315_services_pratapgarh_servicesthank_ssuper,"['services', 'pratapgarh', 'servicesthank', 'ssuper', 'custumer', 'startups', 'beginners', 'excillent', 'key', 'jobs']","['best services', 'best services', 'best services']"
316,50,316_response_enquires_word_details,"['response', 'enquires', 'word', 'details', 'ask', 'change', 'good', 'really', 'excellent', 'awesome']","['good response', 'good response', 'good response']"
317,50,317_reliable_consistent_uptill_authetic,"['reliable', 'consistent', 'uptill', 'authetic', 'covenniant', 'unpredictable', 'stable', 'word', 'relatable', 'suitable']","['reliable', 'reliable', 'reliable']"
318,50,318_battery_complex_parasite_spare,"['battery', 'complex', 'parasite', 'spare', 'goughing', 'aforteble', 'conviencent', 'drainer', 'badddddddd', 'neverrrrrr']","['badddddddd app high charges alsooo neverrrrrr download app', 'app interface excellent opreating really complex one problem app honest pricing would better could show whatever extra charges would applied menu rather billing page', 'app battery drainer u uninstall ordering suck battery background whole day even u surfing app']"
319,50,319_faster_fasth_fast_intime,"['faster', 'fasth', 'fast', 'intime', 'quickly', 'needs', 'km', 'good', 'well', 'also']","['good faster', 'good faster', 'good faster']"
320,50,320_offers_cheaply_hmmmm_grab,"['offers', 'cheaply', 'hmmmm', 'grab', 'offer', 'nice', 'gets', 'options', 'sometimes', 'many']","['nice offers', 'nice offers', 'nice offers']"
321,49,321_students_student_employment_worthy,"['students', 'student', 'employment', 'worthy', 'bachelor', 'uses', 'fluidgreat', 'workful', 'boysamazing', 'marvelousall']","['good app students', 'good app students', 'nice app students']"
322,49,322_application_program_mine_fully,"['application', 'program', 'mine', 'fully', 'nice', 'till', 'satisfied', 'keep', 'really', 'one']","['nice application', 'nice application', 'nice application']"
323,49,323_platforms_platform_author_qukly,"['platforms', 'platform', 'author', 'qukly', 'woulder', 'trustable', 'avery', 'ware', 'nicest', 'looter']","['better platforms', 'better platforms', 'good better platforms']"
324,49,324_delayed_fudging_exchanges_closeby,"['delayed', 'fudging', 'exchanges', 'closeby', 'messagedelivered', 'rupayee', 'extends', '3hrw', 'serviceai', 'multi']","['prompt courteous delivery time previously time delivery delayed got messagedelivered delivered called get clear reply got message near doorstep took quite minutes finally arrive delivery agent said deliver 2 places reason delay', 'worst service experiencing shows 30 mins extends another 30 mins assign multiple tasks delivery agent third time ive experienced', 'company got listed stock exchanges surprisingly quality service gone substantially takes longer time delivery company bothered sad']"
325,49,325_punching_adjusted_timethank_qualify,"['punching', 'adjusted', 'timethank', 'qualify', '2am', 'reach', 'seamlessly', 'disturbance', 'cooperation', 'finished']","['easy use prompt days eta adjusted many times order', 'first time order dont know time recive order order meet correct time say super aap thx team', 'goood need one facilities menu search option required time order punching']"
326,49,326_surving_excellent_delight_customer,"['surving', 'excellent', 'delight', 'customer', 'regards', 'professionalism', 'phenomenal', 'important', 'impressed', 'performance']","['excellent customer service', 'excellent customer service', 'excellent surving customer important']"
327,48,327_anyday_swigy_better_swiggy,"['anyday', 'swigy', 'better', 'swiggy', 'siwzzgay', 'square', 'platfforms', 'okits', 'critisism', 'wayyy']","['switch swiggy one wont allow criticism stand critisism edit still prefer swiggy', 'better swiggy anyday', 'way better swiggy anyday anytime']"
328,48,328_copons_toolong_prblmm_fast,"['copons', 'toolong', 'prblmm', 'fast', 'itt', 'speedy', 'quickly', 'nice', 'delivery', 'slow']","['nice quick delivery best copons', 'nice fast delivery prblmm', 'nice fast delivery time toolong']"
329,48,329_exlent_excilent_timind_extrordinary,"['exlent', 'excilent', 'timind', 'extrordinary', 'splendilicious', 'rxcellentvas', 'exlente', 'axcilen', 'celent', 'execlent']","['exlent', 'exlent', 'exlent']"
330,48,330_plastic_boys_boy_containers,"['plastic', 'boys', 'boy', 'containers', 'hot', 'politely', 'thier', 'containersinstead', 'bamboo', 'pouches']","['delivery food good concern hot food packed plastic containers take away encourage separate category resturants pack thick papaer based container', 'really convenient nowadays time matters would strongly suggest tell every restaurant pack hot food plastic containers highly toxic pls use foil pouches instead', 'hot food packed plastic containers unhealthy unsafe please use safer foodgrade alternativescustomer health matters people simply take package fees n platform fee']"
331,48,331_feslety_perforamnce_bestm_witty,"['feslety', 'perforamnce', 'bestm', 'witty', 'toorder', 'iloved', 'foof', 'foood', 'fo', 'best']","['best feslety', 'best perforamnce', 'bestm best']"
332,48,332_offers_offersss_spp_besttt,"['offers', 'offersss', 'spp', 'besttt', 'hear', 'offer', 'best', 'recommended', 'find', 'missing']","['best offers', 'best offers', 'best offers']"
333,48,333_delevery_efficient_delivirey_scgedule,"['delevery', 'efficient', 'delivirey', 'scgedule', 'setiafie', 'fiood', 'deliery', 'delievering', 'delivary', 'delevers']","['good delevery app', 'fast delevery best app', 'good app fast delevery']"
334,48,334_happy_joy_happiness_optimistic,"['happy', 'joy', 'happiness', 'optimistic', 'nes', 'joyfully', 'fullsend', 'ph', 'overs', 'gladly']","['happy happy', 'happy happy', 'joy full']"
335,47,335_services_invall_exceptionally_performance,"['services', 'invall', 'exceptionally', 'performance', 'excellent', 'decent', 'systems', 'season', 'rainy', 'ways']","['excellent services', 'excellent services', 'excellent services']"
336,47,336_deliveer_salesman_serviceas_designer,"['deliveer', 'salesman', 'serviceas', 'designer', 'potential', 'attentive', 'pressure', 'loyalty', 'customer', 'hire']","['service good customer service agents need attentive towards understanding queries customers', 'im happy customer cant guys hire designer', 'good customer services potential deliveer boys everything fine']"
337,47,337_hotels_hotel_1or2_tom,"['hotels', 'hotel', '1or2', 'tom', 'mokama', 'quate', 'gurdev', 'guaranteeprices', 'restaurentsbut', 'rooms']","['good hotels bad', 'nice hotels', 'good service good hotels']"
338,47,338_india_indias_nellore_delhi,"['india', 'indias', 'nellore', 'delhi', 'indian', 'yup', 'south', 'cuisine', 'bhimavaram', 'goiing']","['best food app india', 'best food app india', 'best food app india']"
339,47,339_swiggy_betterment_swiggyin_supportgood,"['swiggy', 'betterment', 'swiggyin', 'supportgood', 'serviceuse', 'swiggigy', 'swiggy3', 'better', 'swigee', 'serviceits']","['good service better swiggy', 'better service swiggy', 'better service swiggy']"
340,47,340_aap_deliverymust_problam_canned,"['aap', 'deliverymust', 'problam', 'canned', 'energetic', 'shimla', 'fasting', 'aaps', 'survive', 'veri']","['best delivery aap', 'best delivery aap', 'best delivery aap']"
341,47,341_cones_perks_plenty_operate,"['cones', 'perks', 'plenty', 'operate', 'humble', 'beautiful', 'features', 'efficient', 'nice', 'food']","['nice food delivery app', 'nice food delivery app easy operate get perks also keep', 'nice app plenty features efficient delivery food cones time delivery guys also humble polite']"
342,47,342_fastest_aver_heathfull_rudrapur,"['fastest', 'aver', 'heathfull', 'rudrapur', 'hahaha', 'availablity', 'deliverygood', 'fast', 'owsm', 'speed']","['good food fastest delivery', 'best food fastest delivery', 'best food fastest delivery']"
343,47,343_cravings_midnight_night_craving,"['cravings', 'midnight', 'night', 'craving', 'mid', 'fighters', 'timenow', 'fullfil', 'satisfy', 'fullfills']","['best night cravings', 'best night cravings', 'good night cravings']"
344,47,344_delayed_delays_attends_delayes,"['delayed', 'delays', 'attends', 'delayes', 'bunced', 'mandsaur', 'latealways', '78th', 'appalways', 'merging']","['worst service since continuously 78 orders delayed never made changes getting delayes', 'delayed orders worst support', 'worst service orders always delayed']"
345,47,345_faast_charmi_mor_fattest,"['faast', 'charmi', 'mor', 'fattest', 'aplicationeasy', 'itemsnice', 'conventional', 'deliverypolite', 'easy', 'discont']","['fattest delivery itemsnice', 'fast delivery although get confused mor societies areas', 'fast delivery n conventional charmi process']"
346,47,346_price_actual_compared_original,"['price', 'actual', 'compared', 'original', 'menu', 'costlier', 'higher', 'restaurant', 'direct', '40higher']","['prices high compared original price restaurant', 'price increased compared restaurant price discount provided costlier compared direct order restaurant', 'prices higher actual price restaurant']"
